GP,Eye,Region,ROI,Layer,Z,K,alpha,c,rho
12-1,LE,SUP,3.8,4,1.57975411,2.546789736,8.90549E-06,1609.84427,0.983253243
12-1,LE,INF,2,1,1.629247401,2.642559801,3.41646E-06,1634.316055,1.034584246
12-1,LE,INF,2,2,1.680897344,3.071241429,1.22567E-05,1839.311275,0.946165168
12-1,LE,INF,2,3,1.749756128,3.221442939,1.46742E-05,1854.459296,0.960249896
12-1,LE,INF,2,4,1.627652626,2.73096343,9.29914E-06,1676.113288,0.973511091
12-1,LE,INF,2.2,1,1.664135823,2.656415195,5.09872E-06,1595.455719,1.041911414
12-1,LE,INF,2.2,2,1.75461751,3.229485961,1.30241E-05,1866.727865,0.961963259
12-1,LE,INF,2.2,3,1.731630275,3.252487936,1.55448E-05,1900.066561,0.952569761
12-1,LE,INF,2.2,4,1.700004111,2.97900431,1.05438E-05,1750.434252,0.976424466
12-1,LE,SUP,2.4,1,1.689770574,2.579241281,6.54095E-06,1564.948747,1.084997808
12-1,LE,SUP,2.4,2,1.767815134,3.099321924,1.43779E-05,1766.901159,1.000450568
12-1,LE,SUP,2.4,3,1.646216109,2.732162812,1.0103E-05,1659.141489,0.993553456
12-1,LE,SUP,2.4,4,1.586007031,2.494366822,8.39756E-06,1571.466189,1.010106205
12-1,LE,INF,0,1,1.632067714,2.701659439,8.41837E-06,1652.46513,0.994278931
12-1,LE,INF,0,2,1.72394297,3.176246729,1.35333E-05,1844.159399,0.956022334
12-1,LE,INF,0,3,1.621198291,2.83425309,7.54621E-06,1746.430967,0.943514807
12-1,LE,INF,0,4,1.570884992,2.667150036,5.63135E-06,1695.548307,0.937869516
12-1,LE,INF,0,1,1.660775071,2.765019639,9.96761E-06,1674.87268,0.994406903
12-1,LE,INF,0,2,1.730377292,3.220186494,1.40618E-05,1888.602231,0.948240135
12-1,LE,INF,0,3,1.694349873,3.028877459,8.2037E-06,1785.484834,0.958057682
12-1,LE,INF,0,4,1.572656495,2.672221646,6.59556E-06,1696.575631,0.938072384
12-1,RE,INF,3.6,1,1.634303042,2.485295101,4.94758E-06,1516.793829,1.072492483
12-1,RE,INF,3.6,2,1.727661109,3.032641023,1.93915E-05,1767.825548,0.986392546
12-1,RE,INF,3.6,3,1.610106185,2.602882233,8.99568E-06,1614.590892,0.997634903
12-1,RE,INF,3.6,4,1.573278345,2.432286416,5.16398E-06,1535.613188,1.024109913
12-1,RE,INF,3.8,1,1.668726453,2.603956342,7.52984E-06,1547.357924,1.074675243
12-1,RE,INF,3.8,2,1.718592758,3.007883214,1.78307E-05,1749.97944,0.992472446
12-1,RE,INF,3.8,3,1.642114005,2.746167165,1.16614E-05,1670.315966,0.986321395
12-1,RE,INF,3.8,4,1.56296921,2.43498964,5.02924E-06,1554.04921,1.007313425
12-1,RE,INF,4,1,1.641138673,2.536712855,4.3433E-06,1533.68892,1.064437156
12-1,RE,INF,4,2,1.711028579,2.997354933,1.63938E-05,1750.722895,0.980884699
12-1,RE,INF,4,3,1.603220036,2.712927701,1.03447E-05,1689.502169,0.95558517
12-1,RE,INF,4,4,1.573495048,2.497029752,6.99443E-06,1583.321521,0.99524308
12-1,RE,INF,4.2,1,1.657856269,2.565742779,4.5084E-06,1544.900659,1.066796948
12-1,RE,INF,4.2,2,1.705770755,2.974500464,1.54307E-05,1742.649146,0.982033999
12-1,RE,INF,4.2,3,1.619417699,2.732386302,1.09035E-05,1684.690665,0.964329205
12-1,RE,INF,4.2,4,1.568959315,2.441465134,3.66021E-06,1553.950002,1.010535673
12-1,RE,INF,4.4,1,1.640707614,2.570795309,5.5615E-06,1562.377923,1.055773967
12-1,RE,INF,4.4,2,1.634694354,2.84611074,1.44995E-05,1741.363852,0.955926102
12-1,RE,INF,4.4,3,1.631386965,2.744100139,1.20594E-05,1681.140828,0.971623654
12-1,RE,INF,4.4,4,1.572037156,2.467201848,3.89182E-06,1566.540887,1.00376057
12-1,RE,SUP,3.2,1,1.571130562,2.445459982,4.71664E-06,1549.854575,1.013902406
12-1,RE,SUP,3.2,2,1.606596882,2.748099441,1.18111E-05,1709.48433,0.952246558
12-1,RE,SUP,3.2,3,1.61223617,2.686257225,8.86841E-06,1663.999174,0.975737668
12-1,RE,SUP,3.2,4,1.626652829,2.672253072,5.94957E-06,1639.692405,0.992131936
12-1,RE,SUP,3.4,1,1.598681789,2.542441159,6.37268E-06,1586.039303,1.009372985
12-1,RE,SUP,3.4,2,1.639627226,2.843871307,1.04336E-05,1733.446004,0.949624189
12-1,RE,SUP,3.4,3,1.669455656,2.979585932,1.22903E-05,1784.081074,0.956539078
12-1,RE,SUP,3.4,4,1.606275263,2.710086898,8.04847E-06,1684.96601,0.960143642
12-1,RE,SUP,3.6,1,1.59283041,2.516551532,5.84741E-06,1572.935435,1.014901029
12-1,RE,SUP,3.6,2,1.597376563,2.735305294,9.99404E-06,1710.325868,0.947637389
12-1,RE,SUP,3.6,3,1.651643673,2.915358885,9.49404E-06,1762.86303,0.953972456
12-1,RE,SUP,3.6,4,1.581963633,2.569196022,6.63643E-06,1620.907728,0.981016631
12-1,RE,SUP,3.8,1,1.573872016,2.461877909,7.82498E-06,1547.015722,1.016885373
12-1,RE,SUP,3.8,2,1.594615422,2.71138095,9.23432E-06,1696.777653,0.950609321
12-1,RE,SUP,3.8,3,1.735449232,3.103628153,8.93499E-06,1787.243641,0.981171634
12-1,RE,SUP,3.8,4,1.582720778,2.511944683,6.17469E-06,1582.541886,1.004484296
12-1,RE,SUP,4,1,1.59044451,2.459534875,6.80299E-06,1537.89415,1.034066059
